year,week,team_1,team_1_score,team_1_proj,team_1_result,team_2,team_2_score,team_2_proj,team_2_result
2017,1,Abhi,100,126,Win,Griffin,64,119,Loss
2017,1,Landon,100,102,Loss,Brayden,120,118,Win
2017,1,James,93,103,Win,Korben,91,123,Loss
2017,1,Jace,86,113,Win,Hudson,71,95,Loss
2017,1,Rhett,102,114,Win,Peyton,99,112,Loss
2017,1,Harrison,68,98,Loss,Ben,88,109,Win
2017,2,Abhi,83,123,Loss,Jace,121,115,Win
2017,2,Landon,101,100,Loss,Korben,109,114,Win
2017,2,James,108,112,Loss,Brayden,144,122,Win
2017,2,Griffin,58,104,Loss,Hudson,130,119,Win
2017,2,Rhett,89,125,Loss,Harrison,107,119,Win
2017,2,Peyton,81,123,Loss,Ben,103,107,Win
2017,3,Abhi,111,120,Loss,Korben,127,118,Win
2017,3,Landon,132,118,Win,Rhett,66,109,Loss
2017,3,James,64,102,Loss,Harrison,111,115,Win
2017,3,Jace,90,97,Loss,Griffin,132,119,Win
2017,3,Brayden,135,129,Win,Peyton,102,115,Loss
2017,3,Ben,87,111,Loss,Hudson,121,100,Win
2017,4,Abhi,133,119,Win,Peyton,92,126,Loss
2017,4,Landon,109,120,Win,Harrison,83,111,Loss
2017,4,James,106,111,Loss,Jace,109,95,Win
2017,4,Brayden,109,115,Win,Ben,107,114,Loss
2017,4,Griffin,89,119,Win,Rhett,72,113,Loss
2017,4,Korben,90,120,Loss,Hudson,128,110,Win
2017,5,Abhi,66,119,Loss,James,73,100,Win
2017,5,Landon,112,108,Win,Peyton,94,111,Loss
2017,5,Jace,84,52,Loss,Brayden,105,116,Win
2017,5,Griffin,91,90,Win,Korben,64,101,Loss
2017,5,Rhett,119,107,Win,Ben,115,106,Loss
2017,5,Harrison,106,92,Win,Hudson,63,94,Loss
2017,6,Abhi,121,105,Win,Ben,120,109,Loss
2017,6,Landon,113,98,Win,James,87,96,Loss
2017,6,Jace,76,87,Loss,Rhett,112,116,Win
2017,6,Brayden,85,126,Loss,Griffin,125,93,Win
2017,6,Peyton,112,116,Win,Hudson,80,82,Loss
2017,6,Harrison,65,97,Loss,Korben,96,113,Win
2017,7,Abhi,173,119,Win,Rhett,130,113,Loss
