week,team_1,team_1_score,team_2,team_2_score
1,Breece’s Pieces,122.16,Georgia Military,129.08
1,Him.,133.92,BC,88.74
1,Bow Bow Bowers,129.96,Private Jettas 🛩️,107.88
1,Pig State 🐖,98.78,AB CeeDee,86.26
1,Cooked,125.54,Tickle my gooch,100.04
1,Nabers in Paris,146.62,Saquon my nuts 🥜,150.48
2,Breece’s Pieces,183.52,Nabers in Paris,137.58
2,Him.,138.42,Bow Bow Bowers,119.62
2,Georgia Military,107.36,Tickle my gooch,106.94
2,BC,133.26,AB CeeDee,121.40
2,Pig State 🐖,105.68,Saquon my nuts 🥜,121.50
2,Cooked,98.28,Private Jettas 🛩️,152.52
3,Breece’s Pieces,129.04,Cooked,86.84
3,Him.,104.64,Pig State 🐖,142.42
3,Georgia Military,176.92,Saquon my nuts 🥜,169.78
3,Bow Bow Bowers,107.06,Tickle my gooch,113.58
3,BC,117.48,Private Jettas 🛩️,150.48
3,AB CeeDee,90.20,Nabers in Paris,94.58
4,Breece’s Pieces,100.14,Pig State 🐖,162.66
4,Him.,103.22,Tickle my gooch,139.60
4,Georgia Military,71.30,AB CeeDee,141.60
4,Bow Bow Bowers,98.78,Saquon my nuts 🥜,121.60
4,BC,109.82,Cooked,138.84
4,Private Jettas 🛩️,108.48,Nabers in Paris,121.64
5,Breece’s Pieces,116.38,BC,119.70
5,Him.,145.90,Saquon my nuts 🥜,111.04
5,Georgia Military,131.80,Bow Bow Bowers,177.38
5,Pig State 🐖,84.60,Tickle my gooch,105.94
5,Cooked,133.48,Nabers in Paris,140.92
5,Private Jettas 🛩️,137.92,AB CeeDee,129.04
6,Breece’s Pieces,139.92,Saquon my nuts 🥜,138.02
6,Him.,128.68,Private Jettas 🛩️,71.46
6,Georgia Military,122.66,BC,108.78
6,Bow Bow Bowers,131.02,Cooked,108.76
6,Pig State 🐖,143.30,Nabers in Paris,116.02
6,AB CeeDee,111.78,Tickle my gooch,123.60
7,Breece’s Pieces,141.98,Tickle my gooch,111.16
7,Him.,102.26,Nabers in Paris,101.14
7,Georgia Military,128.52,Private Jettas 🛩️,111.84
7,Bow Bow Bowers,118.44,AB CeeDee,100.24
7,BC,109.04,Pig State 🐖,131.90
7,Cooked,90.10,Saquon my nuts 🥜,160.64
8,Breece’s Pieces,147.28,AB CeeDee,157.50
8,Him.,142.06,Cooked,111.14
8,Georgia Military,140.22,Pig State 🐖,91.80
8,Bow Bow Bowers,134.40,Nabers in Paris,148.76
8,BC,113.46,Tickle my gooch,105.08
8,Private Jettas 🛩️,128.34,Saquon my nuts 🥜,120.04
9,Breece’s Pieces,118.10,Private Jettas 🛩️,138.84
9,Him.,148.30,Georgia Military,151.00
9,Bow Bow Bowers,146.92,Pig State 🐖,105.46
9,BC,110.50,Nabers in Paris,136.60
9,Cooked,120.72,AB CeeDee,115.54
9,Tickle my gooch,186.84,Saquon my nuts 🥜,116.04
10,Breece’s Pieces,108.00,Georgia Military,81.30
10,Him.,132.28,BC,147.12
10,Bow Bow Bowers,192.02,Private Jettas 🛩️,101.02
10,Pig State 🐖,88.46,AB CeeDee,96.56
10,Cooked,120.34,Tickle my gooch,89.34
10,Nabers in Paris,118.10,Saquon my nuts 🥜,122.90
11,Breece’s Pieces,188.28,Him.,86.18
11,Georgia Military,77.38,Nabers in Paris,115.88
11,Bow Bow Bowers,199.44,BC,90.96
11,Pig State 🐖,177.58,Cooked,101.84
11,Private Jettas 🛩️,161.24,Tickle my gooch,104.44
11,AB CeeDee,121.98,Saquon my nuts 🥜,122.60
12,Breece’s Pieces,142.02,Bow Bow Bowers,130.08
12,Him.,110.26,AB CeeDee,153.42
12,Georgia Military,100.32,Cooked,93.12
12,BC,159.44,Saquon my nuts 🥜,165.76
12,Pig State 🐖,115.16,Private Jettas 🛩️,70.50
12,Nabers in Paris,116.98,Tickle my gooch,145.46
13,Breece’s Pieces,142.36,AB CeeDee,94.68
13,Him.,120.12,Cooked,125.40
13,Georgia Military,141.52,Pig State 🐖,142.44
13,Bow Bow Bowers,197.36,Nabers in Paris,109.08
13,BC,154.04,Tickle my gooch,119.94
13,Private Jettas 🛩️,127.44,Saquon my nuts 🥜,119.84
14,Breece’s Pieces,146.82,Pig State 🐖,115.22
14,Him.,96.52,Tickle my gooch,130.74
14,Georgia Military,193.08,AB CeeDee,112.02
14,Bow Bow Bowers,162.16,Saquon my nuts 🥜,122.12
14,BC,128.46,Cooked,202.68
14,Private Jettas 🛩️,144.96,Nabers in Paris,117.94
15,Breece’s Pieces,153.00,Tickle my gooch,114.66
15,Georgia Military,145.58,Saquon my nuts 🥜,116.96
15,Pig State 🐖,168.86,Private Jettas 🛩️,113.34
16,Breece’s Pieces,168.52,Georgia Military,121.56
16,Bow Bow Bowers,130.98,Pig State 🐖,140.80
16,Tickle my gooch,150.30,Saquon my nuts 🥜,165.78
17,Breece’s Pieces,149.26,Pig State 🐖,169.42
17,Georgia Military,144.78,Bow Bow Bowers,173.38
17,Private Jettas 🛩️,131.58,Saquon my nuts 🥜,140.12
