Player,GP,Avg,AdjustedAvg,EWMA,StDev,Streak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16
Abhi,16,120.25,123.68,112.12,32.18,-2,-1.3,100.0,83.0,111.0,133.0,66.0,121.0,173.0,159.0,125.0,98.0,123.0,124.0,165.0,157.0,114.0,72.0
Griffin,16,100.81,105.38,107.05,23.22,1,1.24,64.0,58.0,132.0,89.0,91.0,125.0,95.0,113.0,73.0,117.0,138.0,107.0,86.0,103.0,115.0,107.0
Landon,16,97.25,94.07,97.16,17.39,1,-0.95,100.0,101.0,132.0,109.0,112.0,113.0,75.0,103.0,62.0,78.0,101.0,93.0,80.0,98.0,89.0,110.0
Brayden,16,104.75,102.62,116.55,26.3,4,1.34,120.0,144.0,135.0,109.0,105.0,85.0,110.0,83.0,79.0,74.0,60.0,71.0,114.0,130.0,138.0,119.0
James,13,83.62,83.36,91.09,24.98,2,-0.55,93.0,108.0,64.0,106.0,73.0,87.0,63.0,87.0,38.0,48.0,115.0,115.0,90.0,,,
Korben,16,108.31,112.71,113.38,24.98,-1,1.04,91.0,109.0,127.0,90.0,64.0,96.0,116.0,76.0,119.0,109.0,118.0,174.0,130.0,96.0,107.0,111.0
Jace,13,85.62,81.01,77.88,16.65,-1,0.5,86.0,121.0,90.0,109.0,84.0,76.0,72.0,97.0,71.0,63.0,83.0,93.0,68.0,,,
Hudson,13,82.92,76.13,73.93,28.83,-2,1.55,71.0,130.0,121.0,128.0,63.0,80.0,84.0,44.0,39.0,80.0,87.0,84.0,67.0,,,
Rhett,16,110.19,115.44,115.28,25.51,2,-0.75,102.0,89.0,66.0,72.0,119.0,112.0,130.0,128.0,91.0,163.0,126.0,123.0,127.0,79.0,111.0,125.0
Peyton,13,98.92,100.88,100.76,12.67,0,-3.23,99.0,81.0,102.0,92.0,94.0,112.0,96.0,93.0,89.0,104.0,126.0,114.0,84.0,,,
Harrison,16,85.44,83.24,79.0,18.58,-5,0.88,68.0,107.0,111.0,83.0,106.0,65.0,57.0,91.0,99.0,110.0,84.0,76.0,64.0,102.0,65.0,79.0
Ben,16,96.94,96.76,99.4,22.99,-1,0.23,88.0,103.0,87.0,107.0,115.0,120.0,99.0,86.0,104.0,64.0,80.0,55.0,96.0,146.0,123.0,78.0
