Player,GP,Avg,AdjustedAvg,EWMA,StDev,High,Low,Streak,LuckIndex,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16
Abhi,16,146.0,146.75,153.66,21.05,176.0,98.0,3,0.44,141.0,128.0,152.0,176.0,154.0,132.0,169.0,116.0,126.0,154.0,158.0,149.0,98.0,159.0,156.0,168.0
Weston,16,148.38,148.51,156.14,21.13,177.0,112.0,1,-2.64,138.0,168.0,175.0,141.0,135.0,173.0,118.0,131.0,177.0,112.0,125.0,155.0,155.0,154.0,144.0,173.0
Ben,16,129.44,127.6,117.09,33.71,182.0,64.0,-2,1.99,113.0,153.0,116.0,176.0,126.0,64.0,158.0,117.0,169.0,122.0,134.0,136.0,127.0,182.0,68.0,110.0
Harrison,16,129.81,126.75,125.48,23.34,168.0,88.0,-1,2.74,168.0,116.0,147.0,117.0,132.0,160.0,129.0,118.0,88.0,154.0,120.0,116.0,126.0,114.0,168.0,104.0
Saxon,13,116.31,108.92,107.37,30.14,194.0,61.0,1,0.68,120.0,194.0,113.0,124.0,118.0,122.0,90.0,112.0,113.0,91.0,120.0,61.0,134.0,,,
Griffin,13,123.31,125.07,126.4,27.44,168.0,85.0,-1,-0.95,99.0,116.0,165.0,111.0,120.0,93.0,140.0,116.0,168.0,85.0,112.0,163.0,115.0,,,
Peyton,16,138.44,134.45,135.75,25.32,189.0,101.0,1,0.56,181.0,149.0,147.0,111.0,149.0,101.0,189.0,156.0,131.0,117.0,132.0,106.0,137.0,143.0,113.0,153.0
Rhett,16,159.31,158.02,155.46,20.98,200.0,130.0,0,-0.46,130.0,170.0,200.0,178.0,150.0,158.0,165.0,147.0,145.0,134.0,179.0,173.0,151.0,143.0,191.0,135.0
Korben,13,127.62,125.67,129.92,17.75,151.0,99.0,1,-0.45,151.0,124.0,123.0,150.0,139.0,120.0,99.0,128.0,109.0,142.0,100.0,127.0,147.0,,,
Brayden,16,155.12,154.17,156.02,20.58,211.0,123.0,-1,1.36,157.0,178.0,150.0,147.0,149.0,131.0,211.0,149.0,156.0,139.0,149.0,123.0,173.0,146.0,170.0,154.0
James,16,134.12,134.79,140.5,21.91,165.0,79.0,-3,-2.4,125.0,161.0,141.0,115.0,163.0,113.0,79.0,165.0,126.0,146.0,125.0,128.0,138.0,128.0,143.0,150.0
Ryan,13,118.62,110.35,96.57,26.37,169.0,56.0,-1,-0.86,130.0,132.0,118.0,169.0,146.0,119.0,103.0,115.0,108.0,105.0,109.0,132.0,56.0,,,
